"reference_scope","fixture_family","fixture_id","fixture_code","repository","commit","schema","table","column","constraint","row_count","lifecycle_state","nullable","reference_class","historical","test_only","can_reassign_safely","must_remain_immutable","source_path","action","notes"
"DATABASE","LOCAL_DEVELOPMENT_MNT","594afaf3-6f55-54be-933d-c6572f4e02ec","MNT","exitpassdb_v1.2","bc12be5a672e86582b1196dd288211d5b8a371aa","sites","sites","site_group_id","fk_sites__site_group","2","ACTIVE","NO","CONTROLLED_CONFIGURATION","false","true","false","true","objects/reference-data/exitpass.reference-data-v1.2.sql","KEEP_UNCHANGED","Two active local-development Sites."
"DATABASE","LOCAL_DEVELOPMENT_MNT","594afaf3-6f55-54be-933d-c6572f4e02ec","MNT","exitpassdb_v1.2","bc12be5a672e86582b1196dd288211d5b8a371aa","discounts","discount_policy_references","site_group_id","logical reference; no declared FK","2","ACTIVE","YES","LOCAL_DEVELOPMENT_POLICY","false","true","false","true","objects/reference-data/exitpass.reference-data-v1.2.sql","KEEP_UNCHANGED","Local placeholder policy references are bound to MNT."
"DATABASE","LOCAL_DEVELOPMENT_MNT","594afaf3-6f55-54be-933d-c6572f4e02ec","MNT","exitpassdb_v1.2","bc12be5a672e86582b1196dd288211d5b8a371aa","merchants","merchant_site_scopes","site_group_id","logical reference; no declared FK","2","ACTIVE","YES","CONTROLLED_CONFIGURATION","false","true","false","true","objects/reference-data/exitpass.reference-data-v1.2.sql","KEEP_UNCHANGED","Current merchant test scopes."
"DATABASE","LOCAL_DEVELOPMENT_MNT","594afaf3-6f55-54be-933d-c6572f4e02ec","MNT","exitpassdb_v1.2","bc12be5a672e86582b1196dd288211d5b8a371aa","coupons","coupon_rules","site_group_id","logical reference; no declared FK","2","ACTIVE","YES","CONTROLLED_CONFIGURATION","false","true","false","true","objects/reference-data/exitpass.reference-data-v1.2.sql","KEEP_UNCHANGED","Current coupon test rules."
"DATABASE","LOCAL_DEVELOPMENT_MNT","110a07ad-773f-5018-b18a-d4d78e2ae6dd","MNT_OPEN_LOT_A","exitpassdb_v1.2","bc12be5a672e86582b1196dd288211d5b8a371aa","sites","lanes","site_id","fk_lanes__site","3","ACTIVE","NO","CONTROLLED_CONFIGURATION","false","true","false","true","objects/reference-data/exitpass.reference-data-v1.2.sql","KEEP_UNCHANGED","One entry and two exit lanes."
"DATABASE","LOCAL_DEVELOPMENT_MNT","db5f423b-ed17-59d4-a5be-e7440aca5b21","MNT_STRUCTURED_B","exitpassdb_v1.2","bc12be5a672e86582b1196dd288211d5b8a371aa","sites","lanes","site_id","fk_lanes__site","2","ACTIVE","NO","CONTROLLED_CONFIGURATION","false","true","false","true","objects/reference-data/exitpass.reference-data-v1.2.sql","KEEP_UNCHANGED","One entry and one exit lane."
"DATABASE","LOCAL_DEVELOPMENT_MNT","110a07ad-773f-5018-b18a-d4d78e2ae6dd","MNT_OPEN_LOT_A","exitpassdb_v1.2","bc12be5a672e86582b1196dd288211d5b8a371aa","gates","gate_devices","site_id","fk_gate_devices__site","2","ACTIVE","NO","CONTROLLED_CONFIGURATION","false","true","false","true","objects/reference-data/exitpass.reference-data-v1.2.sql","KEEP_UNCHANGED","Two mock barrier controllers."
"DATABASE","I006_METROPOLITAN_SAMPLE","ALL_SAMPLE_GROUPS","SAMPLE-METRO-*","exitpassdb_v1.2","bc12be5a672e86582b1196dd288211d5b8a371aa","sites","sites","site_group_id","fk_sites__site_group","90","INACTIVE","NO","TEST_ONLY_REFERENCE_DATA","false","true","false","true","objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql","KEEP_FOR_TEST_SCOPE_ONLY","34 Manila, 26 Cebu, and 30 Davao synthetic Sites."
"DATABASE","I006_METROPOLITAN_SAMPLE","ALL_SAMPLE_GROUPS","SAMPLE-METRO-*","exitpassdb_v1.2","bc12be5a672e86582b1196dd288211d5b8a371aa","sites","site_group_lgu_scopes","site_group_id","logical reference; no declared FK","45","ACTIVE_DERIVED_SCOPE","YES","TEST_ONLY_REFERENCE_DATA","false","true","false","true","objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql","KEEP_FOR_TEST_SCOPE_ONLY","17 Manila, 13 Cebu, and 15 Davao LGU scopes."
"DATABASE","I006_METROPOLITAN_SAMPLE","ALL_SAMPLE_SITES","SAMPLE-METRO-*-*","exitpassdb_v1.2","bc12be5a672e86582b1196dd288211d5b8a371aa","sites","site_jurisdiction_assignments","site_id","fk_site_jurisdiction_assignments__site","90","ACTIVE","NO","TEST_ONLY_REFERENCE_DATA","false","true","false","true","objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql","KEEP_FOR_TEST_SCOPE_ONLY","One assignment per synthetic Site."
