"repository","commit","path","reference_type","matched_fixture_tokens","controls_runtime_behavior","later_migration_action","current_action","classification_basis"
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","bruno/operator-console-access-evaluation/environments/local.bru","LOCAL_DEVELOPMENT_FIXTURE","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","bruno/operator-console-access-evaluation/README.md","DOCUMENTATION","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","bruno/operator-console-session-lookup/environments/local.bru","LOCAL_DEVELOPMENT_FIXTURE","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","bruno/operator-console-session-lookup/README.md","DOCUMENTATION","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","bruno/operator-console-statutory-discount-draft/environments/local.bru","LOCAL_DEVELOPMENT_FIXTURE","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","docs/operator-console/OperatorConsole_Access_Readiness_API_Backend_Design_v1.md","DOCUMENTATION","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","docs/operator-console/OperatorConsole_Policy_Registry_DB_Baseline_Alignment_Plan_v1.md","DOCUMENTATION","MNT","false","KEEP_UNCHANGED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","docs/operator-console/OperatorConsole_Production_Policy_Registry_Admin_Import_Alignment_v1.md","DOCUMENTATION","MNT","false","KEEP_UNCHANGED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","docs/operator-console/OperatorConsole_Production_Policy_Registry_Readiness_v1.md","DOCUMENTATION","MNT","false","KEEP_UNCHANGED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","docs/operator-console/OperatorConsole_Statutory_Discount_Pilot_Readiness_Signoff_v1.md","DOCUMENTATION","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","docs/operator-console/OperatorConsole_Statutory_Discount_Validation_Runbook_v1.md","DOCUMENTATION","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","docs/operator-console/statutory-discount-payable-basis-application-design.md","DOCUMENTATION","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","docs/v1.3/central-pms/db-alignment/ExitPass_Central_PMS_DB_Alignment_With_exitpassdb_v1.2_Audit_v1.0.md","DOCUMENTATION","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","docs/v1.3/central-pms/seed-manifests/ExitPass_Realistic_Carpark_Catalog_and_Jurisdiction_Seed_Manifest_v1.0.md","DOCUMENTATION","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","docs/v1.3/central-pms/seed-manifests/ExitPass_Realistic_Carpark_Fixture_Identity_Reconciliation_v1.0.md","UAT_OR_LOCAL_FIXTURE","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
"ExitPass","ee7bc7545054f8277301a8bf66cdf4ee8628afb7","docs/v1.3/management-platform/ExitPass_Management_Platform_UAT_User_Role_Permission_Seed_Result_v1.0.md","DOCUMENTATION","77000000-0000-0000-0000-000000000001;77000000-0000-0000-0000-000000000002","false","SCENARIO_OWNER_DECISION_REQUIRED","UNCHANGED","Exact tracked-file UUID/code match at recorded commit."
