fixture_id,site_group_id,site_group_code,fixture_code,fixture_name,site_type,jurisdiction_id,lgu_code,catalog_presence,fixture_family,provenance_source,introducing_commit,purpose,current_status,public_lookup_enabled,payment_enabled,identity_classification,proposed_disposition,realistic_mapping_status,notes
110a07ad-773f-5018-b18a-d4d78e2ae6dd,594afaf3-6f55-54be-933d-c6572f4e02ec,MNT,MNT_OPEN_LOT_A,Mactan Newtown Open Lot A,OPEN_LOT,,072226,CANONICAL_CLEAN_BUILD,LOCAL_DEVELOPMENT_MNT,objects/reference-data/exitpass.reference-data-v1.2.sql,674433d8,Local development operational topology.,ACTIVE,true,true,CONTROLLED_TEST_FIXTURE,KEEP_FOR_TEST_SCOPE_ONLY,NO_MAPPING_APPROVED,Generic local topology is not proven to be any one of the six realistic Mactan New Town facilities.
db5f423b-ed17-59d4-a5be-e7440aca5b21,594afaf3-6f55-54be-933d-c6572f4e02ec,MNT,MNT_STRUCTURED_B,Mactan Newtown Structured Parking B,STRUCTURED_PARKING,,072226,CANONICAL_CLEAN_BUILD,LOCAL_DEVELOPMENT_MNT,objects/reference-data/exitpass.reference-data-v1.2.sql,674433d8,Local development operational topology.,ACTIVE,true,true,CONTROLLED_TEST_FIXTURE,KEEP_FOR_TEST_SCOPE_ONLY,NO_MAPPING_APPROVED,Generic local topology is not proven to be any one of the six realistic Mactan New Town facilities.
77000000-0000-0000-0000-000000000002,77000000-0000-0000-0000-000000000001,OVERLOADED_7700_SITE_GROUP,OVERLOADED_7700_TEST_SITE,Overloaded controlled Test/UAT Site identity,OTHER,,,CONDITIONAL_UAT_OR_LOCAL_SEED,OVERLOADED_7700_TEST_FIXTURE,objects/uat/operator-console.statutory-discount-pilot-fixture-seed.sql; ExitPass manual/UAT fixture sources,scenario-specific,"Operator Console, management-platform, WebPay, and HikCentral controlled test Site; semantic meaning varies by fixture owner.",SCENARIO_DEPENDENT,false,false,UNRESOLVED_IDENTITY,SCHEMA_OR_GOVERNANCE_DECISION_REQUIRED,NO_MAPPING_APPROVED:PITX-LEVEL-3,"PITX Level 3 is activated, but the same fixture UUID is assigned incompatible SANDBOX, MANUAL_TEST, and generic Test Site meanings. Parking Lot Index Code 1 does not prove identity, so the fixture must not be repurposed into PITX or another realistic Site."
2ffd107f-dae4-99c1-a502-bb34c34c8127,d7852957-2043-2544-53c3-5799331f3d0c,SAMPLE-METRO-CEBU,SAMPLE-METRO-CEBU-0722140000-01,Synthetic Carcar Sample Site 1,OPEN_LOT,3709560e-a4ee-308d-8018-fda4bfe88dcd,0722140000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Disabled I-006 jurisdiction-coverage proof only.,INACTIVE,false,false,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,"Synthetic ordinal Site represents jurisdiction coverage, not a physical carpark."
26cf5d3c-1409-4cfc-b5fe-21dd0d327dda,d7852957-2043-2544-53c3-5799331f3d0c,SAMPLE-METRO-CEBU,SAMPLE-METRO-CEBU-0722140000-02,Synthetic Carcar Sample Site 2,OPEN_LOT,3709560e-a4ee-308d-8018-fda4bfe88dcd,0722140000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Disabled I-006 jurisdiction-coverage proof only.,INACTIVE,false,false,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,"Synthetic ordinal Site represents jurisdiction coverage, not a physical carpark."
c1b6e3bd-da76-2653-86b7-d3ceabba1c1d,d7852957-2043-2544-53c3-5799331f3d0c,SAMPLE-METRO-CEBU,SAMPLE-METRO-CEBU-0722170000-01,Synthetic Danao Sample Site 1,OPEN_LOT,d83c443b-2358-2768-9c75-1a74e8e08034,0722170000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Disabled I-006 jurisdiction-coverage proof only.,INACTIVE,false,false,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,"Synthetic ordinal Site represents jurisdiction coverage, not a physical carpark."
b0aae855-fbad-5569-9472-58dc09c895bb,d7852957-2043-2544-53c3-5799331f3d0c,SAMPLE-METRO-CEBU,SAMPLE-METRO-CEBU-0722170000-02,Synthetic Danao Sample Site 2,OPEN_LOT,d83c443b-2358-2768-9c75-1a74e8e08034,0722170000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Disabled I-006 jurisdiction-coverage proof only.,INACTIVE,false,false,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,"Synthetic ordinal Site represents jurisdiction coverage, not a physical carpark."
aa3b86da-ea88-d166-19ea-93a078308ffc,d7852957-2043-2544-53c3-5799331f3d0c,SAMPLE-METRO-CEBU,SAMPLE-METRO-CEBU-0722180000-01,Synthetic Compostela Sample Site 1,OPEN_LOT,73ba2f18-7c19-05d8-7706-45e9657b5205,0722180000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Disabled I-006 jurisdiction-coverage proof only.,INACTIVE,false,false,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,"Synthetic ordinal Site represents jurisdiction coverage, not a physical carpark."
eadc4627-f2a1-8291-0f95-1099794060e6,d7852957-2043-2544-53c3-5799331f3d0c,SAMPLE-METRO-CEBU,SAMPLE-METRO-CEBU-0722180000-02,Synthetic Compostela Sample Site 2,OPEN_LOT,73ba2f18-7c19-05d8-7706-45e9657b5205,0722180000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Disabled I-006 jurisdiction-coverage proof only.,INACTIVE,false,false,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,"Synthetic ordinal Site represents jurisdiction coverage, not a physical carpark."
d1f42a77-ac3e-ac6a-efd1-3786064308ff,d7852957-2043-2544-53c3-5799331f3d0c,SAMPLE-METRO-CEBU,SAMPLE-METRO-CEBU-0722190000-01,Synthetic Consolacion Sample Site 1,OPEN_LOT,ffd6a45f-d050-8c48-374a-edf2ed70ccf2,0722190000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Disabled I-006 jurisdiction-coverage proof only.,INACTIVE,false,false,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,"Synthetic ordinal Site represents jurisdiction coverage, not a physical carpark."
06dd30e5-2c6f-38d4-5093-9c72c30e7972,d7852957-2043-2544-53c3-5799331f3d0c,SAMPLE-METRO-CEBU,SAMPLE-METRO-CEBU-0722190000-02,Synthetic Consolacion Sample Site 2,OPEN_LOT,ffd6a45f-d050-8c48-374a-edf2ed70ccf2,0722190000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Disabled I-006 jurisdiction-coverage proof only.,INACTIVE,false,false,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,"Synthetic ordinal Site represents jurisdiction coverage, not a physical carpark."
