"fixture_type","fixture_id","fixture_code","realistic_target_type","realistic_target_id","realistic_target_code","mapping_decision","physical_identity_evidence","business_identity_evidence","jurisdiction_comparison","topology_comparison","site_type_comparison","confidence","conflicts","approval_required","operational_activation_change_in_scope"
"ASSIGNMENT","d968c9cd-730b-600d-578d-13ab9151d0e7","SAMPLE-METRO-CEBU-0722140000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","18690959-7fac-80bd-c24c-44e4e3f3560f","SAMPLE-METRO-CEBU-0722140000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","0f581f59-56d1-e514-4a15-2ff19ec91ce9","SAMPLE-METRO-CEBU-0722170000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","38ad6f27-338b-644d-b494-1440143e743a","SAMPLE-METRO-CEBU-0722170000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","3ea5f4d9-09ba-577e-0f3c-14f733dc582e","SAMPLE-METRO-CEBU-0722180000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","a7d4f293-90d8-b3ae-12c6-0b40608ded1c","SAMPLE-METRO-CEBU-0722180000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","44300b77-3e24-c517-3c2a-6b41b2960ac7","SAMPLE-METRO-CEBU-0722190000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","1705abd1-10b2-b53b-e115-aff99453a726","SAMPLE-METRO-CEBU-0722190000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","4f8ef1d9-4747-708c-3f3a-a9bcfeb90dec","SAMPLE-METRO-CEBU-0722220000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","819f22d8-0044-a199-3ee2-9550424427d0","SAMPLE-METRO-CEBU-0722220000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
